"","trimestre","instrucao","setor","rendimento_medio_nominal"
"113","2020/1T","Sem instrução e menos de 1 ano de estudo","Outros Serviços",778.58
"114","2020/1T","Fundamental incompleto ou equivalente","Outros Serviços",1012.17
"115","2020/1T","Fundamental completo ou equivalente","Outros Serviços",1170.36
"116","2020/1T","Médio incompleto ou equivalente","Outros Serviços",1070.23
"117","2020/1T","Médio completo ou equivalente","Outros Serviços",1393.91
"118","2020/1T","Superior incompleto ou equivalente","Outros Serviços",1822.1
"119","2020/1T","Superior completo","Outros Serviços",3347.28
"120","2020/1T","Fundamental incompleto ou equivalente","Atividades mal definidas",1158.23
"121","2020/1T","Fundamental completo ou equivalente","Atividades mal definidas",1009.26
"122","2020/1T","Médio incompleto ou equivalente","Atividades mal definidas",688.78
"123","2020/1T","Médio completo ou equivalente","Atividades mal definidas",1132.76
"124","2020/1T","Superior incompleto ou equivalente","Atividades mal definidas",3326.64
"125","2020/1T","Superior completo","Atividades mal definidas",2303.24
"126","2020/2T","Sem instrução e menos de 1 ano de estudo","Agricultura, pecuária, produção florestal, pesca e aquicultura",685.88
"127","2020/2T","Fundamental incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1117.88
"128","2020/2T","Fundamental completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1622.27
"129","2020/2T","Médio incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1370.77
"130","2020/2T","Médio completo ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",1733.28
"131","2020/2T","Superior incompleto ou equivalente","Agricultura, pecuária, produção florestal, pesca e aquicultura",3469.52
"132","2020/2T","Superior completo","Agricultura, pecuária, produção florestal, pesca e aquicultura",6068.82
"133","2020/2T","Sem instrução e menos de 1 ano de estudo","Indústria geral",1146.59
"134","2020/2T","Fundamental incompleto ou equivalente","Indústria geral",1388.57
"135","2020/2T","Fundamental completo ou equivalente","Indústria geral",1585.81
"136","2020/2T","Médio incompleto ou equivalente","Indústria geral",1545.25
"137","2020/2T","Médio completo ou equivalente","Indústria geral",1992.2
"138","2020/2T","Superior incompleto ou equivalente","Indústria geral",2601.23
"139","2020/2T","Superior completo","Indústria geral",6063.7
"140","2020/2T","Sem instrução e menos de 1 ano de estudo","Construção",1185.57
"141","2020/2T","Fundamental incompleto ou equivalente","Construção",1393.53
"142","2020/2T","Fundamental completo ou equivalente","Construção",1609.66
"143","2020/2T","Médio incompleto ou equivalente","Construção",1507.99
"144","2020/2T","Médio completo ou equivalente","Construção",1841.78
"145","2020/2T","Superior incompleto ou equivalente","Construção",2420.15
"146","2020/2T","Superior completo","Construção",6925.02
"147","2020/2T","Sem instrução e menos de 1 ano de estudo","Comércio, reparação de veículos automotores e motocicletas",946.3
"148","2020/2T","Fundamental incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1425.78
"149","2020/2T","Fundamental completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1698.16
"150","2020/2T","Médio incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1459.05
"151","2020/2T","Médio completo ou equivalente","Comércio, reparação de veículos automotores e motocicletas",1767.22
"152","2020/2T","Superior incompleto ou equivalente","Comércio, reparação de veículos automotores e motocicletas",2428.99
"153","2020/2T","Superior completo","Comércio, reparação de veículos automotores e motocicletas",3566.43
"154","2020/2T","Sem instrução e menos de 1 ano de estudo","Transporte, armazenagem e correio ",1062.09
"155","2020/2T","Fundamental incompleto ou equivalente","Transporte, armazenagem e correio ",1814.43
"156","2020/2T","Fundamental completo ou equivalente","Transporte, armazenagem e correio ",1879.51
"157","2020/2T","Médio incompleto ou equivalente","Transporte, armazenagem e correio ",1831.45
"158","2020/2T","Médio completo ou equivalente","Transporte, armazenagem e correio ",2086.05
"159","2020/2T","Superior incompleto ou equivalente","Transporte, armazenagem e correio ",2392.18
"160","2020/2T","Superior completo","Transporte, armazenagem e correio ",5287.65
"161","2020/2T","Sem instrução e menos de 1 ano de estudo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1873.51
"162","2020/2T","Fundamental incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1468.83
"163","2020/2T","Fundamental completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1653.98
"164","2020/2T","Médio incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",1585.46
"165","2020/2T","Médio completo ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2009.53
"166","2020/2T","Superior incompleto ou equivalente","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",2238.41
"167","2020/2T","Superior completo","Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",5295.4
"168","2020/2T","Sem instrução e menos de 1 ano de estudo","Administração pública, defesa e seguridade social ",2595.62
"169","2020/2T","Fundamental incompleto ou equivalente","Administração pública, defesa e seguridade social ",1384.91
"170","2020/2T","Fundamental completo ou equivalente","Administração pública, defesa e seguridade social ",1635.87
"171","2020/2T","Médio incompleto ou equivalente","Administração pública, defesa e seguridade social ",1458.63
"172","2020/2T","Médio completo ou equivalente","Administração pública, defesa e seguridade social ",2064.92
"173","2020/2T","Superior incompleto ou equivalente","Administração pública, defesa e seguridade social ",2100.74
"174","2020/2T","Superior completo","Administração pública, defesa e seguridade social ",5253.82
"175","2020/2T","Sem instrução e menos de 1 ano de estudo","Outros Serviços",883.92
"176","2020/2T","Fundamental incompleto ou equivalente","Outros Serviços",1026.71
"177","2020/2T","Fundamental completo ou equivalente","Outros Serviços",1161.54
"178","2020/2T","Médio incompleto ou equivalente","Outros Serviços",1197.39
"179","2020/2T","Médio completo ou equivalente","Outros Serviços",1398.15
